"RSTK__SYACC_DIV__C","RSTK__SYACC_MFGACCT__C","RSTK__SYACC_DESCR__C","RSTK__SYACC_GLTYPE_PL__C","RSTK__SYACC_SYQBCOA__C","RSTK__SYACC_GLXREFACCT__C"
"a8C8Y000000CurfUAC","5145","Div to Div  Move Stds Variance","Division to Division Variance","","aAO8Y000000OIhFWAW"
"a8C8Y000000CurfUAC","5900","RMA Product Return","Cost of Sales","","aAO8Y000000OIhOWAW"
"a8C8Y000000CurfUAC","2200-1","Customer Deposits - Invoice","Unearned Revenue","","aAO8Y000000OIgrWAG"
"a8C8Y000000CurfUAC","2200-2","Customer Deposits - Credit Card","Unearned Revenue","","aAO8Y000000OIgrWAG"
"a8C8Y000000CurfUAC","4100","Freight Income","Revenue","","aAO8Y000000OIgfWAG"
"a8C8Y000000CurfUAC","4110","Handling Income","Revenue","","aAO8Y000000OIh6WAG"
"a8C8Y000000CurfUAC","4105","Packaging Income","Revenue","","aAO8Y000000OIh5WAG"
"a8C8Y000000CurfUAC","4390","Sales Discount","Revenue","","aAO8Y000000OIh4WAG"
"a8C8Y000000CurdUAC","8210","AP Exchange Rate Variance","Variance","","aAO8Y000000OIcmWAG"
"a8C8Y000000CurgUAC","4392","Unearned Revenue","Unearned Revenue","","aAO8Y000000OIisWAG"
"a8C8Y000000CurgUAC","4550","Deferred Cost","Deferred Costs","","aAO8Y000000OIiuWAG"
"a8C8Y000000CurgUAC","8210","AP Exchange Rate Variance","Variance","","aAO8Y000000OIjtWAG"
"a8C8Y000000CurgUAC","2260","VAT Tax - Vat Recovery","Liability Accounts","","aAO8Y000000OIiYWAW"
"a8C8Y000000CurgUAC","5110","Purchase Price Variance (PPV)","PPV","","aAO8Y000000OIizWAG"
"a8C8Y000000CurgUAC","5125","Negative Variance Acct","Inventory Negative Variance","","aAO8Y000000OIj1WAG"
"a8C8Y000000CurgUAC","5190","General Mrg Expense","Expense","","aAO8Y000000OIjDWAW"
"a8C8Y000000CurgUAC","7102","Div to Div Clearing","Division Transfer","","aAO8Y000000OIjnWAG"
"a8C8Y000000CurgUAC","1405","Non Nettable Inventory","Non Nettable","","aAO8Y000000OIi3WAG"
"a8C8Y000000CurgUAC","5900","RMA Product Return","Cost of Sales","","aAO8Y000000OIjIWAW"
"a8C8Y000000CurgUAC","1400","Inventory, Raw Material","Inventory","","aAO8Y000000OIi2WAG"
"a8C8Y000000CurgUAC","4200","Service Revenue","Revenue","","aAO8Y000000OIiqWAG"
"a8C8Y000000CurgUAC","5130","PO-Invoice Price Variance","Variance","","aAO8Y000000OIj2WAG"
